feature,importance
account_emptied,0.35565576
error_balance_orig,0.31309557
deltaOrg,0.08317798
amount_to_oldbalance_ratio,0.05102467
dest_was_empty,0.043451034
type_CASH_OUT,0.02532837
error_balance_dest,0.019536579
amount,0.015003776
deltaDest,0.014015679
type_TRANSFER,0.013428881
oldbalanceDest,0.012587455
type_CASH_IN,0.011404211
newbalanceDest,0.010397254
oldbalanceOrg,0.0075374665
step,0.0069617596
hour_of_day,0.0065851086
type_PAYMENT,0.0060422528
newbalanceOrig,0.0037987446
day_of_month,0.00084663683
has_balance_error,0.00012076279
isFlaggedFraud,0.0
is_weekend,0.0
type_DEBIT,0.0
